1067 1442
1039 293 1
986 771 2
425 206 3
310 262 1
101 834 2
501 507 3
743 617 2
454 757 1
431 705 1
544 574 2
990 649 1
860 456 3
793 433 3
80 109 1
791 985 2
362 405 2
817 1026 1
74 34 1
603 736 3
525 628 1
602 463 3
995 594 3
852 832 2
470 681 2
897 366 1
603 61 1
627 804 3
497 69 1
839 916 3
891 948 1
465 1067 2
73 979 2
329 488 1
61 311 2
194 292 1
180 560 1
382 627 2
585 306 2
109 683 2
85 25 1
791 985 1
910 33 2
125 403 1
947 611 1
308 227 1
1008 880 2
378 744 1
915 347 3
374 692 1
458 343 1
582 320 2
799 557 3
65 425 1
455 669 3
195 614 3
510 73 1
158 810 1
543 38 3
574 377 3
705 507 1
362 405 1
757 443 2
970 312 1
853 983 1
605 971 1
28 788 2
655 208 2
947 458 1
283 491 1
251 69 1
43 523 2
871 264 3
276 249 2
430 727 3
776 611 1
467 143 1
218 113 2
517 768 1
574 377 2
57 575 2
257 233 3
317 563 2
839 916 3
947 611 1
178 887 3
465 134 2
671 994 1
158 810 2
1055 196 2
111 392 2
544 574 1
805 52 2
593 528 3
755 272 1
380 315 1
463 718 3
169 779 1
15 311 2
605 971 1
743 617 2
161 146 1
525 628 2
601 778 2
431 705 1
758 666 1
959 726 3
1002 71 2
514 360 1
852 424 2
571 623 3
135 420 2
202 862 3
2 221 2
155 4 3
85 25 2
428 251 2
724 963 2
765 424 3
939 175 1
834 784 3
1064 632 1
913 776 3
578 58 2
267 175 2
603 61 3
593 528 2
134 379 2
842 877 2
678 386 1
691 998 1
691 760 3
569 769 2
537 243 2
699 947 2
603 736 3
840 461 1
477 69 2
37 1000 3
23 423 3
819 153 3
436 38 1
501 507 1
268 327 1
929 1010 1
376 636 1
303 302 1
272 815 1
5 793 2
417 378 1
675 1056 1
30 918 3
533 1025 3
287 170 2
879 859 3
671 994 1
847 877 2
1027 738 2
291 135 1
571 623 2
679 890 1
425 206 3
769 522 1
294 892 2
835 220 2
632 909 3
524 556 2
739 24 2
295 227 2
302 619 1
965 872 3
222 267 1
927 252 3
37 1000 2
981 241 1
819 153 3
134 379 2
199 444 1
565 575 1
988 240 2
871 673 3
332 886 1
737 426 1
851 430 2
531 172 2
533 1025 3
952 989 1
947 611 1
416 772 2
796 551 3
871 264 2
268 395 1
799 557 1
872 863 2
376 26 3
676 210 3
282 72 1
437 729 1
1039 591 2
430 727 2
859 1060 2
574 572 1
529 348 2
593 528 3
23 103 2
963 347 3
773 821 2
518 844 1
676 210 1
605 8 3
730 413 1
267 175 1
57 575 2
836 682 1
30 674 2
686 886 2
606 577 1
525 313 1
936 882 1
976 514 2
758 666 3
853 983 3
661 78 1
61 311 2
879 572 2
138 586 1
953 469 1
963 347 1
31 502 2
428 834 2
474 964 3
198 763 3
1023 41 2
263 296 2
998 259 3
350 447 2
1015 760 3
304 411 2
445 586 1
750 472 1
178 887 1
849 600 3
292 574 1
339 822 3
987 64 3
947 458 3
945 955 1
445 586 1
506 846 2
860 138 2
640 319 1
171 221 3
463 294 3
743 617 2
376 26 2
48 441 3
601 516 2
920 791 1
842 877 1
1054 368 3
549 222 1
569 769 3
938 808 3
476 598 1
913 211 2
636 118 1
272 748 2
888 632 3
139 233 2
231 769 3
17 345 3
1009 418 1
653 318 1
769 202 1
227 1022 3
543 38 3
98 942 3
459 858 2
345 40 3
618 285 1
614 1066 3
234 554 3
837 949 3
125 403 3
831 725 2
510 73 1
345 40 2
863 604 3
1002 71 3
610 128 1
63 287 1
925 417 1
524 556 2
750 988 1
833 177 2
799 722 2
1039 591 2
747 32 1
291 135 1
247 832 1
285 737 2
44 243 2
745 648 1
890 265 2
268 395 1
810 666 2
781 679 1
537 243 1
251 531 1
776 611 1
217 719 3
209 451 3
68 374 3
291 135 1
998 259 3
734 564 2
744 960 2
1054 368 3
294 892 2
117 785 1
365 42 2
849 600 1
797 707 1
865 1010 3
459 858 3
205 443 2
447 994 2
80 219 3
959 726 1
247 832 1
658 190 1
728 300 3
93 646 3
382 627 1
497 69 3
739 24 1
297 974 3
363 278 3
486 779 1
122 273 3
69 830 2
351 126 1
771 138 3
994 266 3
69 646 2
959 726 3
37 1000 2
462 689 1
805 114 1
171 616 2
331 969 1
907 435 2
699 947 1
351 939 2
287 336 2
840 461 3
738 686 3
773 682 1
913 776 3
1029 801 3
895 589 1
111 392 3
614 937 3
141 319 1
744 960 2
82 762 2
583 645 3
69 830 2
24 764 3
913 776 2
802 327 2
103 77 2
1047 901 2
272 815 1
902 1008 3
976 546 1
636 118 3
1059 683 2
452 503 2
830 105 1
5 793 1
675 737 2
1049 102 3
706 194 2
69 323 1
970 929 1
750 472 1
498 310 1
757 443 2
833 177 3
699 597 2
533 284 3
936 882 2
1023 41 2
805 114 1
784 812 1
811 382 1
251 845 3
27 1004 3
908 933 1
847 877 3
65 568 1
569 416 2
399 1056 2
584 626 1
924 672 3
766 309 2
990 649 3
374 996 3
462 481 1
1067 450 3
15 309 3
401 882 3
69 323 2
417 378 1
910 33 2
590 802 2
310 262 1
588 285 3
23 103 1
552 411 1
303 311 3
424 49 1
258 290 2
1063 122 1
748 433 2
528 303 2
992 716 3
153 647 2
305 678 3
447 994 2
927 252 3
748 433 2
610 128 3
675 1056 3
990 649 3
302 619 1
188 995 1

