315 4555
7 110 3
34 14 2
48 61 2
276 286 3
160 145 3
57 172 1
13 236 2
135 38 3
187 113 2
279 100 1
271 95 3
22 59 2
266 125 3
283 152 3
215 228 1
107 68 1
72 166 2
123 297 3
133 263 1
199 244 2
106 227 3
192 157 1
176 73 2
55 177 3
113 87 1
146 211 3
141 37 1
2 7 2
2 11 3
176 73 3
16 79 3
148 164 3
175 132 3
153 14 1
130 182 3
152 81 1
278 9 3
266 267 2
131 255 2
126 225 1
140 199 2
170 71 1
102 83 1
296 309 3
20 66 3
292 92 2
180 272 3
4 65 1
19 289 3
201 194 1
45 203 2
198 108 1
260 198 3
266 218 1
244 17 3
87 88 3
194 228 3
257 263 1
176 209 3
140 150 3
305 48 3
210 303 1
133 160 3
38 45 1
106 310 3
262 119 2
8 297 1
213 113 2
75 299 2
182 79 2
278 197 2
286 224 2
82 286 2
218 39 2
228 134 3
160 22 1
100 36 1
55 177 3
1 77 2
181 163 1
200 75 3
117 184 3
152 266 2
16 145 2
165 124 1
249 185 2
30 140 2
212 123 2
257 33 2
29 160 2
247 40 2
72 309 3
279 144 1
32 100 1
147 201 1
174 91 1
8 185 1
240 160 2
151 48 2
228 309 2
90 116 1
189 187 1
53 42 1
74 168 2
282 179 3
276 20 3
136 278 2
154 13 3
287 193 2
125 281 1
275 20 1
123 297 2
289 163 2
237 224 1
33 152 2
287 301 1
123 310 1
292 286 1
257 302 2
179 292 3
244 16 1
70 68 3
67 24 3
188 302 1
228 296 3
262 270 1
30 142 1
262 212 3
187 221 1
133 242 3
201 224 3
295 31 2
46 178 1
211 298 1
25 170 1
79 180 3
111 143 2
314 12 2
76 157 1
200 211 2
180 221 3
170 234 3
307 294 1
311 15 3
251 49 2
58 6 3
177 85 2
192 45 1
204 247 3
290 170 2
136 113 3
236 30 1
286 273 2
272 75 1
185 131 2
94 83 1
306 101 2
16 297 2
127 176 2
16 201 3
170 262 1
174 16 1
14 55 2
273 111 1
123 262 1
185 50 1
7 220 3
70 22 1
226 107 3
276 96 2
87 88 2
107 9 1
157 228 3
274 276 1
98 115 1
228 296 2
307 46 2
164 232 3
123 37 1
163 82 3
50 177 1
142 106 1
31 42 2
126 257 2
237 263 3
258 295 3
176 297 1
230 140 1
49 307 1
301 237 3
220 68 3
167 74 3
307 68 1
230 209 1
234 80 1
79 123 3
52 19 2
65 295 1
279 207 1
160 136 2
118 214 1
16 145 1
246 120 3
216 192 3
266 125 2
9 282 1
242 183 1
194 274 1
105 162 3
10 185 2
157 286 1
158 80 2
268 215 1
206 129 1
170 234 1
294 276 2
277 21 3
170 291 1
217 225 3
151 269 2
18 149 2
199 88 3
69 311 1
108 187 2
233 9 2
34 14 1
197 184 1
117 115 2
97 278 3
27 286 2
80 77 2
157 303 1
178 215 2
27 90 1
132 255 2
2 42 3
94 167 2
5 170 1
66 174 3
243 42 3
268 22 3
147 144 1
104 298 3
43 184 1
45 182 1
315 160 1
244 155 2
134 261 2
301 270 1
98 206 2
217 155 3
220 53 2
247 222 1
228 315 2
31 32 1
265 70 1
294 84 3
94 145 2
77 228 2
192 83 3
287 193 1
278 260 1
228 296 1
1 148 1
251 53 3
240 100 3
304 72 1
264 39 2
279 61 1
187 221 2
213 74 1
7 232 1
90 53 1
285 136 2
240 40 3
41 42 2
107 168 2
60 189 2
154 156 3
263 144 1
64 43 1
245 295 3
15 300 1
59 15 2
147 202 2
81 208 2
181 151 2
239 40 3
187 296 2
126 20 1
30 236 1
18 103 3
67 293 1
230 140 2
230 280 1
273 178 2
1 148 2
16 201 1
104 205 1
32 275 1
161 297 2
94 224 2
68 142 1
156 39 2
265 200 1
314 272 1
311 26 2
166 97 3
258 232 3
144 78 2
251 312 1
243 42 3
220 49 3
32 55 1
241 75 3
163 114 1
64 30 2
212 73 1
50 105 3
172 165 2
111 143 2
121 154 1
94 12 1
17 26 3
84 2 1
44 288 1
199 93 2
115 140 2
171 17 1
9 37 2
157 109 3
186 314 1
60 215 3
70 41 2
290 260 3
108 291 3
260 55 2
207 202 2
101 304 2
105 60 3
203 136 2
292 313 2
244 93 3
258 209 1
268 273 1
180 67 1
44 83 3
272 202 1
52 141 2
259 167 2
131 272 1
283 152 3
219 38 3
171 146 1
97 226 3
20 304 2
35 203 3
310 91 2
299 39 1
151 50 2
62 68 3
65 75 2
274 238 1
65 75 2
62 78 1
140 16 2
95 262 1
254 117 1
103 15 2
35 84 1
157 296 3
152 40 3
294 133 3
160 22 3
22 59 1
63 85 1
159 264 2
313 104 1
197 286 3
127 46 2
260 61 1
287 96 2
60 73 1
93 302 2
205 70 3
81 282 3
307 206 2
265 63 1
283 134 1
112 74 2
89 233 2
37 135 1
36 258 2
290 51 3
197 287 3
108 83 1
264 252 2
138 76 3
102 105 1
55 77 2
122 169 3
146 104 3
53 42 2
83 9 2
176 73 1
14 36 3
157 199 2
306 121 3
275 20 2
305 161 1
266 192 3
69 210 1
218 5 3
210 208 2
210 105 3
79 69 3
124 141 1
43 80 1
63 85 3
27 20 2
129 49 1
244 202 2
121 300 3
290 258 2
68 298 1
90 279 3
70 22 1
196 155 3
182 214 3
46 97 2
243 132 3
259 167 3
74 200 2
245 306 1
264 259 2
199 79 2
243 96 1
208 77 1
149 22 1
61 214 3
310 253 3
194 265 2
129 244 3
266 218 2
93 207 1
96 5 2
236 278 2
295 117 2
46 260 1
11 251 2
15 244 3
104 170 3
124 256 2
154 221 1
68 168 1
28 125 2
102 222 3
243 95 1
227 177 1
138 137 3
14 138 2
206 96 2
211 33 3
203 236 1
9 37 2
285 136 2
86 105 3
141 209 3
308 263 3
233 215 1
252 55 1
50 204 2
175 58 2
59 162 1
241 310 3
201 31 3
199 88 1
90 53 1
210 105 3
293 96 2
81 203 2
292 261 1
222 37 3
201 315 1
205 264 1
99 86 2
184 10 1
239 233 2
245 98 1
58 182 2
14 8 2
149 226 3
24 256 3
11 210 2
25 152 2
283 218 2
178 215 2
78 42 1
178 279 1
276 25 3
268 22 2
183 33 2
130 37 1
185 50 1
127 224 2
53 309 1
168 174 3
248 96 2
63 240 2
52 240 1
237 282 1
156 128 1
5 314 2
8 185 3
143 285 2
21 217 2
95 127 3
156 128 2
255 111 3
63 240 1
265 148 3
100 271 3
97 278 1
204 201 2
174 118 2
265 200 2
254 76 1
74 200 3
174 268 2
242 146 1
76 197 2
38 55 1
202 305 3
252 41 2
81 208 2
146 186 3
301 186 2
210 247 2
142 157 1
129 42 2
194 265 3
102 222 3
267 125 1
87 314 2
165 124 3
19 268 3
82 196 1
263 289 2
5 152 2
50 311 1
40 209 3
166 105 3
203 57 2
220 49 3
34 249 2
311 128 2
179 246 1
187 48 2
164 232 2
279 167 2
87 314 3
224 302 3
260 282 2
131 3 2
168 92 1
147 94 3
296 212 1
49 10 3
64 201 2
61 85 1
128 288 3
147 290 2
105 23 3
98 288 3
36 229 2
200 306 2
20 304 3
106 209 1
12 188 2
202 120 1
101 235 1
193 304 3
28 243 1
274 159 3
139 81 2
234 42 1
94 145 1
147 144 2
202 209 3
90 116 3
202 148 3
238 45 1
230 26 2
298 211 2
202 13 2
233 149 2
110 129 2
212 97 1
248 293 1
287 185 2
226 77 2
34 148 3
100 6 3
65 180 2
33 94 3
19 289 3
251 53 3
179 292 2
39 203 3
30 178 3
52 18 1
96 4 1
257 149 2
12 188 1
129 42 2
241 72 1
19 152 1
310 107 2
315 160 1
236 206 2
247 210 3
17 85 2
26 34 1
43 180 2
5 65 1
152 314 1
34 249 2
176 265 2
215 73 2
185 131 2
10 296 3
147 170 2
40 259 3
175 301 3
237 224 3
64 53 3
181 163 1
313 63 1
72 235 3
59 141 3
28 79 3
40 166 3
276 208 1
106 100 3
122 154 2
286 273 3
22 109 3
59 15 2
66 65 1
170 200 2
182 31 1
95 104 2
197 278 3
147 201 1
222 57 1
304 78 2
10 185 3
55 77 2
245 98 3
251 31 3
116 275 3
221 98 2
303 33 1
165 79 1
203 260 3
46 61 2
198 120 2
32 100 2
68 221 2
143 69 3
289 93 2
139 171 1
171 310 2
198 237 3
294 311 1
68 143 2
117 189 2
308 209 2
77 140 3
217 225 3
78 201 2
38 166 1
108 83 1
31 32 1
150 214 2
210 74 3
233 215 3
60 296 3
98 115 3
235 160 3
267 174 1
202 305 3
244 93 2
46 177 2
60 165 1
131 189 3
239 233 2
36 79 1
248 147 1
74 215 2
290 210 1
139 81 2
295 31 2
69 123 2
230 209 1
66 249 2
203 207 3
195 118 2
114 296 1
33 152 1
251 185 1
194 272 3
102 105 3
303 6 1
255 111 1
96 153 2
139 164 1
260 178 3
294 101 1
78 99 2
201 184 2
58 178 1
3 211 1
181 151 1
236 151 3
157 315 1
247 277 3
31 70 1
167 89 3
118 93 2
182 200 2
154 42 1
18 103 2
97 278 3
279 207 1
157 183 1
11 210 3
126 243 2
130 172 1
223 51 3
58 26 1
89 301 2
59 154 1
307 286 2
131 127 1
224 90 3
78 158 1
200 79 1
212 10 2
97 130 3
308 206 2
21 250 1
24 120 2
126 27 1
205 34 1
220 34 3
191 169 1
68 221 2
227 282 3
73 40 1
140 36 1
282 301 3
114 62 3
47 109 3
259 3 3
245 98 3
98 149 2
130 80 2
5 65 2
276 208 2
226 185 2
102 222 1
62 234 1
88 285 1
157 303 1
155 15 2
83 215 3
114 308 2
139 174 1
98 149 1
194 272 1
67 138 3
181 167 1
290 170 2
117 277 3
110 108 3
120 284 3
197 287 3
98 118 2
19 12 2
185 288 2
178 36 2
271 78 1
176 37 1
115 154 3
260 3 1
140 171 3
59 237 3
56 13 1
200 238 3
217 206 3
126 289 3
182 214 2
217 225 3
297 244 1
126 5 3
245 278 1
144 307 3
21 196 1
59 237 3
195 118 1
53 246 3
103 15 3
219 141 2
297 244 1
212 157 3
35 288 2
192 157 2
134 199 1
27 75 1
269 192 3
138 107 2
36 258 3
241 43 3
309 245 3
203 50 2
113 87 1
247 151 3
75 313 1
26 55 1
304 40 3
309 97 1
46 61 2
1 101 2
301 181 3
295 127 1
212 101 3
250 145 1
98 170 1
201 315 1
221 49 3
280 174 3
198 147 1
315 142 3
78 201 2
84 11 3
161 36 1
119 306 3
16 271 2
111 179 1
77 204 1
29 15 3
257 263 1
184 288 3
28 125 2
112 155 2
213 65 1
62 9 2
257 186 3
125 116 3
10 132 2
287 185 3
204 153 1
112 243 2
260 215 1
243 42 3
190 31 3
112 27 2
126 310 1
34 148 3
188 302 1
214 205 2
32 80 3
173 287 3
269 192 3
54 63 3
120 201 2
159 197 1
145 106 3
280 174 1
277 99 2
18 149 1
27 279 2
72 85 2
266 101 3
146 110 3
215 236 2
79 69 3
5 181 1
243 96 1
197 179 3
297 82 1
196 250 3
284 107 2
36 258 2
245 270 2
119 150 2
6 63 3
131 189 1
52 263 1
172 165 2
277 93 2
20 224 3
246 157 2
22 261 1
221 16 1
262 119 1
132 131 1
119 280 1
266 212 2
268 117 2
176 37 1
92 95 1
128 106 1
165 268 2
11 228 2
205 264 2
194 265 2
53 11 3
142 293 1
104 46 1
265 97 1
161 78 3
61 194 2
269 27 2
148 35 3
53 191 1
11 210 1
168 251 3
238 308 1
47 109 1
39 48 2
98 115 1
202 305 2
296 294 2
181 129 3
173 290 2
228 105 3
181 262 3
93 302 1
34 14 1
95 127 1
168 92 1
5 181 2
214 140 1
101 109 2
12 156 1
135 96 3
149 210 3
45 240 2
125 10 3
207 113 1
127 176 3
283 87 1
88 136 3
126 164 1
29 146 1
276 196 1
221 28 3
243 24 1
295 308 2
84 177 3
168 210 3
245 22 2
243 147 2
117 8 1
215 228 3
265 263 3
155 127 2
275 187 2
246 7 1
265 63 1
223 51 3
206 129 1
157 151 2
165 79 1
218 73 1
148 21 1
30 142 2
212 237 3
241 132 3
276 196 2
11 24 2
296 187 3
12 188 1
120 4 1
41 222 3
118 119 3
136 229 2
210 118 1
310 142 2
251 136 2
278 183 1
207 254 1
128 257 3
246 180 2
40 259 3
199 207 1
130 37 2
95 52 2
214 140 3
110 187 3
136 229 1
229 223 1
226 44 3
98 275 3
240 160 3
205 54 2
246 69 2
201 242 3
315 238 3
112 186 1
128 288 3
182 31 3
98 206 1
265 70 2
222 57 2
121 304 2
215 64 2
35 258 2
238 94 1
144 227 3
284 17 3
88 136 3
296 187 3
104 4 1
133 236 2
236 113 3
18 47 1
108 205 3
66 65 2
203 57 2
178 150 1
202 122 2
98 123 2
14 59 1
268 22 2
229 50 3
13 236 2
310 76 3
261 160 1
227 271 1
147 179 3
306 101 2
179 292 3
238 308 1
164 87 3
186 143 3
126 218 1
38 45 3
199 219 3
148 188 1
249 298 1
64 201 2
189 282 3
62 308 3
156 39 2
125 281 2
78 99 2
170 221 3
151 50 2
182 148 2
62 13 3
155 127 2
187 62 1
182 144 3
10 28 2
120 284 3
25 141 1
141 37 1
58 178 1
77 309 3
173 290 3
232 234 2
170 234 3
157 183 1
40 259 2
104 225 2
214 75 2
299 33 1
131 3 2
105 162 3
215 73 3
145 295 3
80 134 2
112 155 3
13 3 3
176 209 1
227 75 1
64 165 1
117 277 3
307 206 1
179 42 1
311 26 1
77 171 3
234 236 3
122 143 1
136 212 1
205 54 2
35 84 1
263 144 2
205 303 3
85 173 3
52 221 2
175 39 2
264 20 1
234 42 1
75 16 3
52 221 2
305 163 2
12 274 1
310 252 1
311 252 2
297 166 1
173 185 2
244 192 3
174 118 1
17 176 2
240 100 1
293 276 3
16 271 2
268 117 1
154 131 2
101 216 1
149 199 2
17 85 2
312 193 2
307 68 1
39 107 1
209 271 1
108 83 3
96 136 3
187 221 3
78 158 3
48 12 3
45 182 1
238 45 1
246 69 3
254 63 3
212 237 2
207 113 2
110 163 2
108 238 3
193 119 3
36 258 2
169 130 2
301 159 2
138 137 1
120 148 3
214 35 2
127 46 2
155 15 1
43 178 2
244 202 2
192 196 1
1 215 2
7 100 3
59 11 3
258 295 3
156 290 3
248 293 1
157 151 1
239 233 1
5 60 3
7 10 3
291 59 2
84 177 3
252 81 2
134 199 1
245 270 2
98 123 2
48 81 1
145 106 3
204 64 2
213 99 1
233 114 3
314 219 1
23 165 2
14 90 2
142 44 2
116 9 3
224 289 3
193 304 3
291 90 3
62 154 3
82 13 2
122 12 3
143 285 3
74 215 3
294 118 2
78 42 2
207 180 3
139 124 3
115 140 2
290 276 3
156 128 1
257 253 2
118 277 3
304 310 1
266 17 1
303 109 2
49 163 3
265 288 2
286 273 1
22 261 3
195 24 3
153 37 2
296 188 3
172 153 3
49 85 3
306 101 3
114 308 1
36 46 3
221 17 3
15 296 1
65 219 2
212 10 2
26 34 1
37 183 3
97 130 1
258 1 3
139 148 3
233 36 2
125 255 2
112 280 1
99 68 1
292 286 1
299 123 1
39 26 1
15 232 1
142 106 3
161 99 2
59 154 3
3 52 3
112 171 1
181 262 2
250 145 2
136 115 2
223 34 2
24 221 3
77 309 1
315 206 2
141 257 1
177 85 2
22 308 2
56 150 3
283 60 2
81 208 1
7 229 2
10 3 1
266 171 3
62 154 3
87 37 2
213 65 1
31 42 2
305 163 2
125 276 2
55 12 2
112 153 3
25 141 1
94 12 1
5 175 3
58 178 1
70 22 1
152 147 3
264 20 3
291 90 3
276 286 1
55 190 1
102 272 2
269 140 3
260 3 1
303 103 3
69 244 2
175 30 2
272 75 1
101 117 3
25 304 2
219 212 1
70 206 3
144 135 1
248 96 3
136 205 3
108 205 2
269 36 2
311 49 3
240 213 3
162 301 1
63 138 2
126 310 1
309 98 3
40 201 2
17 122 3
147 94 3
252 41 2
139 195 3
203 236 2
67 268 3
264 136 1
148 21 2
81 136 2
52 115 3
170 123 2
267 174 1
162 301 1
126 225 2
173 185 3
43 99 3
234 80 2
304 265 3
27 211 3
59 237 3
277 223 1
202 305 3
84 21 2
116 40 1
220 313 1
308 113 2
42 230 2
14 4 3
144 304 3
2 62 3
275 146 1
312 191 1
187 48 1
164 63 2
314 240 3
291 158 1
148 84 1
200 79 1
215 183 3
98 259 3
42 291 1
70 163 3
283 124 2
125 168 2
30 189 2
236 206 2
7 290 2
277 178 2
116 263 1
204 188 3
270 43 1
44 288 3
111 268 3
234 42 2
112 43 1
276 196 2
80 111 1
246 157 2
199 305 3
137 91 3
2 315 3
119 108 3
244 93 3
289 133 3
110 187 1
52 189 2
43 270 2
7 10 3
157 297 3
192 45 3
23 242 3
154 11 1
175 58 3
165 17 1
216 181 1
97 120 1
50 12 2
263 14 2
180 303 1
208 135 2
201 294 2
31 42 2
101 182 2
79 21 3
213 54 3
210 12 2
158 132 3
234 166 3
27 286 1
230 280 3
98 236 3
157 109 2
153 46 2
43 184 2
73 102 3
104 205 1
39 48 1
60 189 2
76 171 2
299 32 3
42 83 3
95 104 1
66 44 2
67 268 3
159 143 1
295 273 2
139 164 3
138 84 1
83 92 3
64 127 2
250 93 1
280 183 3
181 146 2
283 293 2
101 211 3
2 11 1
234 236 1
260 215 1
233 215 1
15 296 3
61 214 1
193 203 1
106 227 3
196 250 3
105 162 1
22 59 1
138 289 1
122 215 3
284 147 1
175 218 1
107 9 3
168 92 1
309 255 1
217 91 2
4 148 1
312 191 1
292 286 1
71 100 3
131 293 2
300 232 1
126 243 3
67 138 3
89 33 1
295 264 1
194 23 1
140 171 2
71 239 1
245 197 2
168 174 3
311 162 3
27 125 2
120 33 3
303 6 2
236 30 3
5 175 2
14 36 3
118 281 3
216 189 1
55 272 3
13 3 3
85 95 1
167 121 1
266 215 2
44 83 2
143 107 3
312 315 2
289 115 1
36 79 1
258 68 3
68 177 3
23 278 1
124 136 2
48 61 2
88 285 1
283 246 1
81 136 3
156 163 2
190 170 1
258 68 3
287 301 1
39 203 2
62 154 3
7 250 1
249 298 2
35 43 2
196 155 2
31 250 1
32 77 3
157 296 2
304 275 2
305 192 1
251 136 2
136 278 2
7 220 2
154 13 3
232 80 2
80 263 2
305 181 1
140 171 2
272 117 2
263 164 1
64 149 3
141 37 3
71 100 1
76 231 2
198 147 3
55 12 2
278 103 2
230 209 1
56 13 1
187 125 2
124 256 1
154 11 3
92 95 3
145 69 1
294 311 3
277 93 1
62 68 3
263 79 3
123 37 3
91 2 2
181 92 1
247 277 1
88 222 3
284 82 2
296 309 1
202 120 3
290 51 3
233 36 3
33 277 1
243 71 3
29 73 1
138 84 1
184 252 2
154 131 2
242 184 3
109 92 1
247 210 2
64 165 1
186 20 2
51 63 3
210 247 2
78 201 2
137 227 2
18 114 3
183 46 3
299 97 1
94 12 1
10 41 2
50 12 2
2 42 2
285 226 3
157 303 1
129 281 1
201 8 2
62 118 3
138 107 3
296 309 1
175 301 1
53 165 2
219 38 3
267 305 1
201 242 3
81 111 1
205 238 3
198 103 2
300 97 3
299 33 2
185 131 3
154 269 2
164 232 3
239 63 3
149 22 1
132 131 3
219 288 3
24 120 3
257 253 2
85 229 1
171 271 3
36 158 1
121 215 1
9 180 1
109 218 3
84 41 1
272 107 2
190 279 3
195 47 1
141 69 1
222 134 1
27 260 3
16 271 1
16 297 1
17 7 2
230 280 1
256 210 1
141 297 1
11 228 2
32 261 2
15 232 1
151 50 3
125 10 3
305 48 3
203 57 2
182 31 2
165 205 2
41 295 1
37 148 1
304 40 1
4 177 1
36 79 2
233 108 2
51 63 2
292 231 1
101 141 3
133 160 1
41 222 3
52 115 3
252 272 3
194 39 3
196 19 2
294 105 3
102 18 3
139 148 2
139 174 2
182 79 2
239 304 3
39 48 2
65 86 1
141 297 1
217 110 1
203 238 3
141 169 2
261 205 2
266 139 1
73 21 2
139 275 2
190 31 2
205 110 1
266 192 3
205 34 3
8 267 1
64 43 2
153 37 2
181 163 1
283 134 2
104 298 3
183 87 2
296 188 3
15 215 3
269 66 3
279 100 3
238 72 3
199 219 1
267 174 3
43 184 1
131 189 1
199 220 1
183 33 2
147 170 2
68 20 1
200 273 2
48 12 3
284 82 3
280 283 2
42 21 1
196 205 2
262 173 1
200 238 2
120 33 3
52 263 1
133 273 1
47 306 3
25 170 1
122 215 1
284 130 1
180 25 2
17 65 3
167 121 2
104 170 3
198 147 2
228 5 1
53 11 3
68 142 3
309 98 3
10 168 2
182 148 3
302 4 2
66 249 1
248 147 1
198 120 3
291 158 1
48 216 1
204 153 2
112 43 1
297 190 1
106 85 3
216 58 2
267 125 3
162 81 2
189 90 3
267 305 2
219 38 2
257 302 2
242 42 1
98 236 2
213 74 1
284 130 2
282 221 2
138 289 1
272 95 1
263 25 2
51 31 1
257 263 2
68 84 1
247 95 1
134 71 3
157 199 1
106 100 1
10 41 1
297 244 3
68 177 1
70 68 2
10 225 1
30 214 1
34 293 1
315 142 3
3 272 3
141 285 1
33 195 3
17 256 2
71 10 2
304 260 3
310 238 3
192 50 3
19 152 1
134 199 2
52 118 2
88 145 1
183 231 3
75 307 1
118 93 2
125 276 1
279 207 2
137 71 3
97 195 1
150 165 2
131 127 3
112 171 1
196 19 3
26 287 2
50 204 3
156 240 3
136 113 1
147 170 2
139 174 1
256 223 3
203 238 1
84 143 3
156 290 3
9 275 3
237 205 2
67 138 3
233 163 3
269 66 3
39 107 1
73 240 1
175 124 3
273 53 1
120 4 2
168 251 3
24 120 2
102 105 3
125 255 1
289 133 3
121 122 3
2 7 2
214 140 1
315 142 2
15 300 1
223 144 1
144 227 3
110 132 3
207 202 1
209 32 3
119 150 3
311 252 1
175 206 2
7 68 2
262 308 3
18 149 1
73 126 2
206 129 1
27 211 3
5 46 3
141 257 1
76 171 2
10 296 1
14 8 2
157 183 1
74 168 1
103 148 1
108 83 1
250 212 3
204 188 1
52 189 2
254 117 2
116 275 3
122 135 2
141 146 3
125 276 2
44 143 3
306 190 2
287 130 1
34 244 1
33 94 1
234 236 1
214 35 3
76 81 2
224 289 2
103 15 2
174 82 2
162 301 1
297 166 3
208 135 2
264 278 3
65 180 2
132 255 2
36 229 3
311 42 1
